group,variable,count,mean,std,median,q1,q3,min,max,dimension
overall,n_alignment_links,1930,19.512435233160623,12.45953952690887,17.0,10.0,26.0,1.0,104.0,overall
overall,source_alignment_coverage,1930,77.89750259067357,17.753896339451202,79.17,66.67,92.5475,10.53,100.0,overall
overall,target_alignment_coverage,1930,78.66252331606218,20.173464470591462,81.82,63.64,100.0,3.09,100.0,overall
overall,links_per_source_token,1930,0.8224079923970016,0.2051563647862437,0.8382737576285963,0.7,1.0,0.14084507042253522,3.0,overall
overall,links_per_target_token,1930,0.8281674208854906,0.21970572336142075,0.8571428571428571,0.6666666666666666,1.0,0.030927835051546393,1.6666666666666667,overall
ar,n_alignment_links,399,16.63408521303258,10.508739655567616,14.0,9.0,21.0,3.0,80.0,language
ar,source_alignment_coverage,399,79.21864661654136,19.507495767744643,83.33,67.205,96.075,20.0,100.0,language
ar,target_alignment_coverage,399,96.71243107769422,8.213311805153875,100.0,97.59,100.0,38.1,100.0,language
ar,links_per_source_token,399,0.8146906937826918,0.20627446994793297,0.8571428571428571,0.6923076923076923,1.0,0.2,1.375,language
ar,links_per_target_token,399,1.0340315474420076,0.1314610997176605,1.0,1.0,1.0833333333333333,0.47619047619047616,1.6666666666666667,language
ca,n_alignment_links,380,24.526315789473685,11.828227143872084,22.0,16.0,30.0,3.0,69.0,language
ca,source_alignment_coverage,380,78.32518421052633,13.227177675285681,78.26,68.42,87.1,40.62,100.0,language
ca,target_alignment_coverage,380,69.32786842105264,17.714894838477427,69.63499999999999,57.045,81.82,15.22,100.0,language
ca,links_per_source_token,380,0.8410196190795638,0.1479245099589777,0.8509259259259259,0.7359649122807017,0.9547979797979799,0.42424242424242425,1.2352941176470589,language
ca,links_per_target_token,380,0.7378129140383419,0.18787908732486158,0.7368421052631579,0.6147642679900744,0.8699158485273493,0.15217391304347827,1.2727272727272727,language
en,n_alignment_links,188,10.47340425531915,5.113088490391109,10.0,6.0,14.0,2.0,31.0,language
en,source_alignment_coverage,188,80.49840425531914,22.529891792415462,88.195,66.3475,100.0,10.53,100.0,language
en,target_alignment_coverage,188,81.5190425531915,21.225921926861936,87.22999999999999,66.67,100.0,14.29,100.0,language
en,links_per_source_token,188,0.8417497001094087,0.25637967073346657,0.8918128654970761,0.6666666666666666,1.0,0.15789473684210525,2.0,language
en,links_per_target_token,188,0.8337422762360606,0.2173212483377424,0.8918128654970761,0.70625,1.0,0.14285714285714285,1.2,language
es,n_alignment_links,362,23.803867403314918,13.156955185995844,22.0,15.0,31.0,2.0,90.0,language
es,source_alignment_coverage,362,74.01243093922652,18.044480533688812,75.72,62.349999999999994,87.785,14.08,100.0,language
es,target_alignment_coverage,362,79.29013812154696,16.457530796734602,81.08,70.865,92.26,3.09,100.0,language
es,links_per_source_token,362,0.7768137646562158,0.22198878752527051,0.7956095481670928,0.6585227272727272,0.9090909090909091,0.14084507042253522,3.0,language
es,links_per_target_token,362,0.8285997715003688,0.17207684542871626,0.8473193473193473,0.7314102564102564,0.9663793103448276,0.030927835051546393,1.1428571428571428,language
fr,n_alignment_links,258,10.771317829457365,7.695950663974321,9.0,5.0,14.0,1.0,56.0,language
fr,source_alignment_coverage,258,84.97775193798451,19.060677685671582,95.435,75.0,100.0,32.08,100.0,language
fr,target_alignment_coverage,258,76.49197674418605,24.76715891394727,84.21,57.2775,100.0,9.09,100.0,language
fr,links_per_source_token,258,0.9061542294929463,0.24583550504764168,1.0,0.7777777777777778,1.0,0.3584905660377358,2.0,language
fr,links_per_target_token,258,0.7939962637916392,0.26237015567424204,0.8823529411764706,0.6,1.0,0.09090909090909091,1.4,language
it,n_alignment_links,343,24.306122448979593,12.95503437364754,22.0,16.0,31.0,1.0,104.0,language
it,source_alignment_coverage,343,73.23588921282797,12.857158870512896,72.73,65.08500000000001,81.44,36.9,100.0,language
it,target_alignment_coverage,343,67.41189504373177,16.237370050731446,65.96,54.635,78.87,30.3,100.0,language
it,links_per_source_token,343,0.7852917365054981,0.14397063464994098,0.782608695652174,0.6946798493408664,0.8816526610644257,0.36904761904761907,1.2,language
it,links_per_target_token,343,0.7109852077880754,0.17618474054561334,0.6956521739130435,0.5766968325791855,0.8136574074074074,0.32,1.25,language
ar,n_alignment_links,399,16.63408521303258,10.508739655567616,14.0,9.0,21.0,3.0,80.0,collection
ar,source_alignment_coverage,399,79.21864661654136,19.507495767744643,83.33,67.205,96.075,20.0,100.0,collection
ar,target_alignment_coverage,399,96.71243107769422,8.213311805153875,100.0,97.59,100.0,38.1,100.0,collection
ar,links_per_source_token,399,0.8146906937826918,0.20627446994793297,0.8571428571428571,0.6923076923076923,1.0,0.2,1.375,collection
ar,links_per_target_token,399,1.0340315474420076,0.1314610997176605,1.0,1.0,1.0833333333333333,0.47619047619047616,1.6666666666666667,collection
ca,n_alignment_links,380,24.526315789473685,11.828227143872084,22.0,16.0,30.0,3.0,69.0,collection
ca,source_alignment_coverage,380,78.32518421052633,13.227177675285681,78.26,68.42,87.1,40.62,100.0,collection
ca,target_alignment_coverage,380,69.32786842105264,17.714894838477427,69.63499999999999,57.045,81.82,15.22,100.0,collection
ca,links_per_source_token,380,0.8410196190795638,0.1479245099589777,0.8509259259259259,0.7359649122807017,0.9547979797979799,0.42424242424242425,1.2352941176470589,collection
ca,links_per_target_token,380,0.7378129140383419,0.18787908732486158,0.7368421052631579,0.6147642679900744,0.8699158485273493,0.15217391304347827,1.2727272727272727,collection
en,n_alignment_links,188,10.47340425531915,5.113088490391109,10.0,6.0,14.0,2.0,31.0,collection
en,source_alignment_coverage,188,80.49840425531914,22.529891792415462,88.195,66.3475,100.0,10.53,100.0,collection
en,target_alignment_coverage,188,81.5190425531915,21.225921926861936,87.22999999999999,66.67,100.0,14.29,100.0,collection
en,links_per_source_token,188,0.8417497001094087,0.25637967073346657,0.8918128654970761,0.6666666666666666,1.0,0.15789473684210525,2.0,collection
en,links_per_target_token,188,0.8337422762360606,0.2173212483377424,0.8918128654970761,0.70625,1.0,0.14285714285714285,1.2,collection
es,n_alignment_links,362,23.803867403314918,13.156955185995844,22.0,15.0,31.0,2.0,90.0,collection
es,source_alignment_coverage,362,74.01243093922652,18.044480533688812,75.72,62.349999999999994,87.785,14.08,100.0,collection
es,target_alignment_coverage,362,79.29013812154696,16.457530796734602,81.08,70.865,92.26,3.09,100.0,collection
es,links_per_source_token,362,0.7768137646562158,0.22198878752527051,0.7956095481670928,0.6585227272727272,0.9090909090909091,0.14084507042253522,3.0,collection
es,links_per_target_token,362,0.8285997715003688,0.17207684542871626,0.8473193473193473,0.7314102564102564,0.9663793103448276,0.030927835051546393,1.1428571428571428,collection
fr,n_alignment_links,258,10.771317829457365,7.695950663974321,9.0,5.0,14.0,1.0,56.0,collection
fr,source_alignment_coverage,258,84.97775193798451,19.060677685671582,95.435,75.0,100.0,32.08,100.0,collection
fr,target_alignment_coverage,258,76.49197674418605,24.76715891394727,84.21,57.2775,100.0,9.09,100.0,collection
fr,links_per_source_token,258,0.9061542294929463,0.24583550504764168,1.0,0.7777777777777778,1.0,0.3584905660377358,2.0,collection
fr,links_per_target_token,258,0.7939962637916392,0.26237015567424204,0.8823529411764706,0.6,1.0,0.09090909090909091,1.4,collection
it,n_alignment_links,320,24.33125,13.151502947593642,22.0,15.0,30.0,4.0,104.0,collection
it,source_alignment_coverage,320,72.8671875,12.587688749429255,72.315,64.595,81.25,40.0,100.0,collection
it,target_alignment_coverage,320,66.9283125,16.23846927178644,65.38,54.2725,78.57,30.3,100.0,collection
it,links_per_source_token,320,0.7817008532564884,0.1414898551197167,0.7752551020408163,0.6923076923076923,0.8790909090909091,0.45161290322580644,1.2,collection
it,links_per_target_token,320,0.7058724006028807,0.17677254323832728,0.6899038461538461,0.568419740777667,0.8060897435897436,0.32,1.25,collection
it_carlo,n_alignment_links,23,23.956521739130434,10.04751557201881,22.0,19.0,33.5,1.0,38.0,collection
it_carlo,source_alignment_coverage,23,78.36565217391305,15.58055338791013,79.17,74.205,84.10499999999999,36.9,100.0,collection
it_carlo,target_alignment_coverage,23,74.14,14.979728423318083,74.19,65.28,84.725,48.61,100.0,collection
it_carlo,links_per_source_token,23,0.8352518512743288,0.17070754759923853,0.8461538461538461,0.7982810920121335,0.9528508771929824,0.36904761904761907,1.125,collection
it_carlo,links_per_target_token,23,0.7821199164516552,0.1541860336325976,0.7575757575757576,0.6899038461538461,0.8821510297482837,0.5138888888888888,1.1,collection
