language,feature,median_diff,p_value,effect_size_r,p_holm,significant_holm
ar,n_tokens,-3.0,1.152361098147988e-42,-0.7499812059430605,1.843777757036781e-41,True
ar,char_count,-11.0,2.4925628212084363e-49,-0.770530615086735,4.735869360296029e-48,True
ar,mean_token_length,-0.07142857142857162,1.4864650111416756e-10,-0.3348860732294439,1.0405255077991728e-09,True
ar,n_content_tokens,-1.0,4.5870448927950845e-33,-0.6873532382741532,6.421862849913119e-32,True
ar,lexical_density,0.0,0.27681727414640445,-0.058128916728059574,0.8304518224392133,False
ar,n_unique_lemmas,-2.0,2.19745142995324e-43,-0.7596341624626373,3.9554125739158316e-42,True
ar,lexical_diversity,-0.28892648510858976,5.667406900633807e-43,-0.7420102113190955,9.634591731077471e-42,True
ar,n_verbs,0.0,8.912465367299831e-18,-0.571821258981091,1.0694958440759797e-16,True
ar,n_finite_verbs,0.0,1.920111727757243e-09,-0.498497310741243,1.1520670366543458e-08,True
ar,n_clauses,0.0,4.526225070504217e-14,-0.5082632704150293,4.5262250705042167e-13,True
ar,n_subordinate_clauses,0.0,4.526225070504217e-14,-0.5082632704150293,4.5262250705042167e-13,True
ar,subordinate_rate,0.0,0.007060740138865516,-0.16215519655608326,0.035303700694327575,True
ar,tree_depth,-1.0,9.395215648574376e-20,-0.546039600939852,1.2213780343146689e-18,True
ar,mean_dep_distance,-0.130718954248366,4.777073642314332e-15,-0.4168893147876326,5.254781006545765e-14,True
ar,max_dep_distance,-3.0,5.7881041153223156e-37,-0.6971471285845954,8.682156172983474e-36,True
ar,n_punct,0.0,3.6248250994275495e-13,-0.49209106597814906,2.8998600795420396e-12,True
ar,n_named_entities,0.0,1.0,0.0,1.0,False
ar,n_numbers,0.0,0.05220363534131467,-0.47487844044749067,0.20881454136525868,False
ar,n_negations,0.0,1.0,0.0,1.0,False
ca,n_tokens,2.0,6.351368832266865e-15,-0.41949520292122916,8.256779481946924e-14,True
ca,char_count,2.0,0.0010460542410073426,-0.17299020916727165,0.007322379687051398,True
ca,mean_token_length,-0.2868081435472738,1.0638932567324994e-29,-0.5948821123461926,1.595839885098749e-28,True
ca,n_content_tokens,1.0,6.938573269596374e-10,-0.33806856434575394,8.326287923515648e-09,True
ca,lexical_density,-0.008316080055210506,0.003258797657595076,-0.15615599152408985,0.01629398828797538,True
ca,n_unique_lemmas,1.0,1.4041079530235483e-08,-0.30993860080507674,1.4041079530235484e-07,True
ca,lexical_diversity,0.0,0.17183291463199946,-0.07191251913881075,0.3842101825058434,False
ca,n_verbs,1.0,6.538849246123028e-41,-0.7852974733607065,1.2423813567633752e-39,True
ca,n_finite_verbs,1.0,2.671667518184082e-26,-0.6512540770223225,3.7403345254577145e-25,True
ca,n_clauses,1.0,7.958346427117731e-39,-0.7841699836054288,1.4325023568811917e-37,True
ca,n_subordinate_clauses,1.0,7.958346427117731e-39,-0.7841699836054288,1.4325023568811917e-37,True
ca,subordinate_rate,0.04371715241280459,1.9684716680380427e-35,-0.686975063011739,3.1495546688608683e-34,True
ca,tree_depth,0.0,0.09605254562646084,-0.09552242001397103,0.3842101825058434,False
ca,mean_dep_distance,0.1443981550364528,9.331217350752675e-09,-0.30140081834174265,1.0264339085827943e-07,True
ca,max_dep_distance,1.0,2.113963901794636e-06,-0.2566789055841023,1.9025675116151725e-05,True
ca,n_punct,0.0,0.0010599547142426738,-0.20242736060045916,0.007322379687051398,True
ca,n_named_entities,0.0,0.9432892654449798,-0.004304073916076615,0.9432892654449798,False
ca,n_numbers,0.0,0.1129594971903928,-0.21455574205381195,0.3842101825058434,False
ca,n_negations,0.0,0.00020008936457010734,-0.4292542080694712,0.0016007149165608587,True
en,n_tokens,0.0,0.6268938867478318,-0.039744596666673154,1.0,False
en,char_count,-3.0,0.08595063341151835,-0.1290433974122351,0.9191396096317528,False
en,mean_token_length,-0.14136904761904767,1.352885434946007e-05,-0.32706775769031093,0.00025704823263974136,True
en,n_content_tokens,0.0,0.8747841144679415,-0.013085673193834298,1.0,False
en,lexical_density,0.0,0.6013950430354872,-0.0411700723063978,1.0,False
en,n_unique_lemmas,0.0,0.061950171175105075,-0.148888701918889,0.7507619282392419,False
en,lexical_diversity,0.0,0.004874974618770293,-0.22325533362700503,0.08709999286091046,False
en,n_verbs,0.0,0.05775091755686476,-0.18542086148740647,0.7507619282392419,False
en,n_finite_verbs,0.0,0.004838888492272803,-0.3186253567832963,0.08709999286091046,False
en,n_clauses,0.0,0.029129688880355838,-0.23423110812287035,0.4660750220856934,False
en,n_subordinate_clauses,0.0,0.029129688880355838,-0.23423110812287035,0.4660750220856934,False
en,subordinate_rate,0.0,0.08355814633015934,-0.16649557504096568,0.9191396096317528,False
en,tree_depth,0.0,0.7879026814655987,-0.024524672435772294,1.0,False
en,mean_dep_distance,0.0,0.5517189181850497,-0.04647611981402987,1.0,False
en,max_dep_distance,0.0,0.386828497466459,-0.07096579763471615,1.0,False
en,n_punct,0.0,0.21798908554941943,-0.12341388919568018,1.0,False
en,n_named_entities,0.0,0.27077811385375294,-0.15290013337553074,1.0,False
en,n_numbers,0.0,0.04948576942989851,-0.471842517120455,0.6928007720185791,False
en,n_negations,0.0,1.0,0.0,1.0,False
es,n_tokens,-2.0,3.490922408414731e-06,-0.25716856638234564,4.189106890097677e-05,True
es,char_count,-11.5,2.008368209800217e-08,-0.30252550602339173,3.0125523147003256e-07,True
es,mean_token_length,-0.017353751372353177,0.049123611005222126,-0.105168190604601,0.2016888135159351,False
es,n_content_tokens,-0.5,0.016235856879990476,-0.13806562659818192,0.09741514127994286,False
es,lexical_density,0.00669692824275589,2.1761231389548785e-05,-0.23302959473046325,0.00017408985111639028,True
es,n_unique_lemmas,-2.0,1.642630655552939e-11,-0.37354193227060906,2.792472114439996e-10,True
es,lexical_diversity,-0.20295063461786778,1.3100161789421825e-14,-0.41724070159018545,2.3580291220959284e-13,True
es,n_verbs,0.0,1.623009427464092e-05,-0.2864333862899275,0.00014607084847176826,True
es,n_finite_verbs,0.0,2.2711969946415897e-11,-0.44929529617100683,3.6339151914265436e-10,True
es,n_clauses,0.0,3.260396279433809e-08,-0.3735902082630888,4.5645547912073323e-07,True
es,n_subordinate_clauses,0.0,3.260396279433809e-08,-0.3735902082630888,4.5645547912073323e-07,True
es,subordinate_rate,0.009804340396445663,7.708869561429093e-16,-0.47404133957878675,1.4646852166715278e-14,True
es,tree_depth,0.0,1.127405647831833e-05,-0.2682323148730342,0.00011274056478318331,True
es,mean_dep_distance,0.0,0.6078276113315992,-0.027588548941589134,1.0,False
es,max_dep_distance,-1.0,5.327071154992491e-06,-0.2522440967289907,5.85977827049174e-05,True
es,n_punct,0.0,0.00041936683198012993,-0.22732012124514664,0.0029355678238609097,True
es,n_named_entities,0.0,0.4236571419613484,-0.05752136415230366,1.0,False
es,n_numbers,0.0,0.3769797893086584,-0.09820964629031402,1.0,False
es,n_negations,0.0,0.04033776270318702,-0.332206446734178,0.2016888135159351,False
fr,n_tokens,0.0,0.0005892392357677569,-0.25166380961015017,0.007660110064980839,True
fr,char_count,0.0,0.004610045900520622,-0.19833860489793984,0.05071050490572684,False
fr,mean_token_length,0.0,0.05198470081884866,-0.136054560457901,0.41587760655078926,False
fr,n_content_tokens,0.0,0.004854026879519464,-0.21817895952539076,0.05071050490572684,False
fr,lexical_density,0.0,0.017200235658771507,-0.17467373193270377,0.15480212092894358,False
fr,n_unique_lemmas,0.0,0.000294663047385641,-0.26567671094028,0.004125282663398974,True
fr,lexical_diversity,0.0,4.840852243116402e-05,-0.29477267176701316,0.0007472528990980117,True
fr,n_verbs,0.0,4.670330619362573e-05,-0.38339055519591636,0.0007472528990980117,True
fr,n_finite_verbs,0.0,0.7778682997488658,-0.03502265953824945,1.0,False
fr,n_clauses,0.0,0.12493945233394296,-0.14869554338087732,0.8745761663376007,False
fr,n_subordinate_clauses,0.0,0.12493945233394296,-0.14869554338087732,0.8745761663376007,False
fr,subordinate_rate,0.0,0.3993852804117878,-0.07537018488429928,1.0,False
fr,tree_depth,0.0,0.0010915611850123652,-0.2617554296094177,0.013098734220148383,True
fr,mean_dep_distance,0.0,6.896840412664063e-06,-0.3203852501405288,0.0001310399678406172,True
fr,max_dep_distance,0.0,7.0054437870672565e-06,-0.3362579807442508,0.0001310399678406172,True
fr,n_punct,0.0,1.964328370020744e-05,-0.392503589705763,0.00033393582290352646,True
fr,n_named_entities,0.0,0.7020166428957013,-0.04979734601760906,1.0,False
fr,n_numbers,0.0,0.34100420899201556,-0.18954384914393643,1.0,False
fr,n_negations,0.0,0.31731050786291415,-1.0,1.0,False
it,n_tokens,2.0,1.5771202715315842e-12,-0.39416580828723097,2.2079683801442178e-11,True
it,char_count,0.0,0.13005145960213343,-0.08270943836009023,0.7803087576128006,False
it,mean_token_length,-0.43678160919540243,3.84271105629538e-35,-0.6717953260182216,7.301151006961222e-34,True
it,n_content_tokens,1.0,3.088676282146297e-10,-0.36240140140857857,4.015279166790186e-09,True
it,lexical_density,-0.008869179600886845,0.004283330489024719,-0.15845012821509113,0.029983313423173036,True
it,n_unique_lemmas,0.0,0.25318605157567975,-0.06438793982016783,0.7803087576128006,False
it,lexical_diversity,-0.21126703379198553,1.18322367343339e-09,-0.3328195581394647,1.419868408120068e-08,True
it,n_verbs,1.0,1.148820895199014e-13,-0.46052453489297474,1.8381134323184224e-12,True
it,n_finite_verbs,1.0,2.067382161507684e-19,-0.569496694072834,3.514549674563063e-18,True
it,n_clauses,0.0,1.1610195249907885e-05,-0.2802067135269988,0.00010449175724917096,True
it,n_subordinate_clauses,0.0,1.1610195249907885e-05,-0.2802067135269988,0.00010449175724917096,True
it,subordinate_rate,0.0,0.14487955930441315,-0.08459326061930304,0.7803087576128006,False
it,tree_depth,0.0,3.413315620554028e-06,-0.2789194733256937,3.413315620554028e-05,True
it,mean_dep_distance,0.17857142857142838,1.9284340193926005e-06,-0.2585702192773393,2.1212774213318604e-05,True
it,max_dep_distance,1.0,0.19155091513112443,-0.072849569060574,0.7803087576128006,False
it,n_punct,1.0,1.2995313415839254e-25,-0.6248337912323976,2.3391564148510656e-24,True
it,n_named_entities,0.0,3.953780521752392e-13,-0.5218770420804104,5.930670782628588e-12,True
it,n_numbers,0.0,0.5949720809333167,-0.07826005175525133,1.0,False
it,n_negations,0.0,1.0,0.0,1.0,False
